method,contamination_ratio,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,brier_mean,oem_0_9_mean,collapse_rate,accept_rate_mean,runtime_sec_mean,peak_memory_mb_mean
atta_or_simatta_style_active,0.3,0.05,0.790852380952381,0.06263620467098302,0.04927142857142856,0.025184564321910508,0.02128571428571424,0.0,0.12259262513241596,0.32920847634474437,0.07827142857142858,0.0,1.0,0.9401005744934082,909.1335123697917
atta_or_simatta_style_active,0.3,0.1,0.7950571428571429,0.06092157139028432,0.05347619047619047,0.02727069540835658,0.02014285714285713,0.0,0.11871565252556687,0.3216736028591792,0.07554761904761904,0.0,1.0,1.0470341602961222,1412.45078125
atta_or_simatta_style_active,0.5,0.0,0.7434466666666667,0.08248411647865526,0.0,0.0,0.0,0.0,0.1503952933816115,0.40092562486728034,0.09031333333333333,0.0,0.0,0.7669577280680339,742.3560872395833
atta_or_simatta_style_active,0.5,0.001,0.75288,0.07295641778864781,0.009433333333333334,0.01983414564162856,-0.013399999999999967,0.13333333333333333,0.1477591408925255,0.3892050524552663,0.09092666666666667,0.0,0.38999999999999996,0.821932315826416,762.412890625
atta_or_simatta_style_active,0.5,0.005,0.7662,0.06358620540055347,0.022753333333333334,0.024507940069226183,-0.018199999999999994,0.1,0.14241374044795832,0.3699110229810079,0.09012666666666667,0.0,0.7966666666666666,0.8652911027272542,782.70927734375
atta_or_simatta_style_active,0.5,0.01,0.7732,0.057899556308227934,0.029753333333333323,0.02923251299652418,-0.030400000000000094,0.1,0.13796951878984767,0.35963011980056764,0.08839333333333334,0.0,0.9233333333333333,0.8850755612055461,784.0869954427084
atta_or_simatta_style_active,0.5,0.02,0.7816933333333334,0.059915750812305595,0.03824666666666666,0.02618031286308848,-0.0046000000000000485,0.03333333333333333,0.13173480041037003,0.34561101098855335,0.08442666666666666,0.0,0.9833333333333333,0.899656105041504,785.835546875
atta_or_simatta_style_active,0.5,0.05,0.7872066666666666,0.06130616177240559,0.04375999999999999,0.02585228063040287,0.00660000000000005,0.0,0.12654077998369934,0.33506970554590226,0.08002,0.0,1.0,0.9059624830881755,786.75244140625
atta_or_simatta_style_active,0.5,0.1,0.7931533333333333,0.060080674116548015,0.04970666666666666,0.028172460670482537,0.017199999999999993,0.0,0.12039707345654567,0.3249843900402387,0.07632666666666667,0.0,1.0,0.9647672176361084,945.7155110677083
bitta_style_binary_feedback,0.0,0.0,0.74131,0.0820067968167147,0.0,0.0,0.0,0.0,0.15103371105675895,0.4044675270716349,0.09135666666666667,0.0,0.0,0.7743206977844238,742.3487955729166
bitta_style_binary_feedback,0.0,0.001,0.7672066666666667,0.06418392716052147,0.02589666666666668,0.02687162948658618,-0.00759999999999994,0.13333333333333333,0.1493575835557282,0.3743547474344571,0.09867000000000001,0.0,1.0,0.9630704800287883,785.6459635416667
bitta_style_binary_feedback,0.0,0.005,0.7913433333333334,0.06052317699875797,0.05003333333333335,0.029558327297796783,0.011399999999999966,0.0,0.12829097341383497,0.33237303247054417,0.08451666666666666,0.0,1.0,1.0273582061131796,785.901171875
bitta_style_binary_feedback,0.0,0.01,0.7984033333333334,0.059339412287068655,0.057093333333333336,0.03074975675074332,0.007799999999999918,0.0,0.12224856426373124,0.3199427882830302,0.07990333333333334,0.0,1.0,1.0618573983510335,785.485546875
bitta_style_binary_feedback,0.0,0.02,0.8020033333333333,0.05888766912276837,0.060693333333333356,0.03197304827650867,0.014399999999999968,0.0,0.1185639904512465,0.3132501497864723,0.0777,0.0,1.0,1.1257179260253907,939.2097330729167
bitta_style_binary_feedback,0.0,0.05,0.8066233333333332,0.0571475988775667,0.06531333333333335,0.03453287023166163,0.015199999999999991,0.0,0.11328563907583554,0.3047953883806864,0.07377666666666666,0.0,1.0,1.2882948637008667,1540.9264322916667
bitta_style_binary_feedback,0.0,0.1,0.8118533333333333,0.05571830463379488,0.07054333333333335,0.03735392407335756,0.019499999999999962,0.0,0.10813979798068603,0.2959004819393158,0.07059666666666667,0.0,1.0,1.6782457987467447,1541.712890625
bitta_style_binary_feedback,0.1,0.0,0.7409777777777777,0.0822521349750925,0.0,0.0,0.0,0.0,0.15141329081671104,0.4052930245796839,0.09166296296296297,0.0,0.0,0.7829330364863077,742.82275390625
bitta_style_binary_feedback,0.1,0.001,0.7511,0.07970402010956676,0.010122222222222218,0.028138853997625814,-0.054777777777777814,0.3,0.16196359936136892,0.40203764537970227,0.10739259259259258,0.0,1.0,0.9580569982528686,785.5813802083334
bitta_style_binary_feedback,0.1,0.005,0.7737888888888889,0.07680828360809547,0.032811111111111096,0.029058654589570763,-0.015444444444444483,0.13333333333333333,0.14442852245177384,0.3640974308053652,0.09631481481481481,0.0,1.0,1.0306583484013876,786.4313802083333
bitta_style_binary_feedback,0.1,0.01,0.7832851851851852,0.06879210655050078,0.04230740740740741,0.028281301233012302,-0.010444444444444478,0.03333333333333333,0.13566447794989306,0.3471407433350881,0.09001111111111111,0.0,1.0,1.0482642571131389,785.6397135416667
bitta_style_binary_feedback,0.1,0.02,0.7913925925925925,0.06621230050730956,0.05041481481481481,0.0281129651734123,-0.0012222222222222356,0.03333333333333333,0.12847345212526895,0.33300203333298367,0.08539259259259259,0.0,1.0,1.1079142888387044,1082.08857421875
bitta_style_binary_feedback,0.1,0.05,0.7989407407407408,0.063298563644845,0.057962962962962966,0.03204051465338194,0.006444444444444475,0.0,0.12113794829039662,0.31902813365062077,0.07958888888888889,0.0,1.0,1.3242690960566204,1541.1389322916666
bitta_style_binary_feedback,0.1,0.1,0.8013037037037037,0.06168287684035952,0.060325925925925915,0.03538640238993581,0.004888888888888943,0.0,0.11820217095315456,0.31451789985100426,0.07706296296296296,0.0,1.0,1.6706760485967,1540.9180989583333
bitta_style_binary_feedback,0.2,0.0,0.7417833333333334,0.08253645963778813,0.0,0.0,0.0,0.0,0.1512563830813393,0.40409049987792967,0.0915625,0.0,0.0,0.7714191198348999,743.1675455729167
bitta_style_binary_feedback,0.2,0.001,0.7341208333333333,0.08718676991619505,-0.007662499999999994,0.04221752156575719,-0.12012500000000004,0.5333333333333333,0.17661143203619867,0.43169250935316084,0.11831666666666667,0.0,1.0,0.9566529830296834,785.3959635416667
bitta_style_binary_feedback,0.2,0.005,0.7691833333333332,0.07626596591843092,0.027400000000000004,0.02627634966512925,-0.018625000000000003,0.1,0.14651743430017186,0.3702722574273745,0.09637916666666667,0.0,1.0,1.0076505263646445,786.0688802083333
bitta_style_binary_feedback,0.2,0.01,0.7702333333333333,0.0756859987203634,0.028450000000000017,0.0263913191056819,-0.013374999999999915,0.06666666666666667,0.1467473089226211,0.3686441073815028,0.09690416666666667,0.0,1.0,1.0395336071650187,785.523046875
bitta_style_binary_feedback,0.2,0.02,0.7826458333333334,0.06849004995798391,0.040862500000000024,0.025379604007331674,0.00275000000000003,0.0,0.13603465864056102,0.3476332952578863,0.09014166666666666,0.0,1.0,1.107454514503479,1137.7609375
bitta_style_binary_feedback,0.2,0.05,0.7848958333333333,0.06928855738595249,0.043112500000000005,0.03097517690105617,-0.003249999999999975,0.06666666666666667,0.1333242053469643,0.3429093360900879,0.08787916666666667,0.0,1.0,1.328261423110962,1541.0805989583334
bitta_style_binary_feedback,0.2,0.1,0.7837125,0.06882919537359025,0.04192916666666669,0.03337200011271409,-0.009749999999999925,0.13333333333333333,0.13353210586154213,0.344900436202685,0.08772083333333333,0.0,1.0,1.7289708137512207,1541.2389322916667
bitta_style_binary_feedback,0.3,0.0,0.7415809523809523,0.0823209586307464,0.0,0.0,0.0,0.0,0.15112612307206505,0.4040881445010503,0.0910904761904762,0.0,0.0,0.7652441263198853,742.4706705729167
bitta_style_binary_feedback,0.3,0.001,0.7307523809523809,0.10093641739509292,-0.010828571428571439,0.03964017254478993,-0.15414285714285714,0.5333333333333333,0.18075986438847724,0.43886585384607313,0.12192857142857143,0.0,1.0,0.9396877924601237,785.8188802083333
bitta_style_binary_feedback,0.3,0.005,0.7557857142857143,0.08859661766402813,0.01420476190476191,0.02970101265066197,-0.04699999999999993,0.3333333333333333,0.15743146256768986,0.3928781047463417,0.10401904761904762,0.0,1.0,0.9861309210459391,786.2563802083333
bitta_style_binary_feedback,0.3,0.01,0.7680333333333333,0.07730438920394299,0.02645238095238095,0.024814982742686356,-0.008000000000000007,0.13333333333333333,0.14840326364487408,0.3723379070560137,0.09829047619047619,0.0,1.0,1.038215661048889,785.2272135416666
bitta_style_binary_feedback,0.3,0.02,0.7715333333333334,0.08061149069803408,0.02995238095238095,0.025808730045537947,-0.0004285714285714448,0.03333333333333333,0.1451967090255448,0.3672957052787145,0.0969047619047619,0.0,1.0,1.1003558874130248,1170.9400065104167
bitta_style_binary_feedback,0.3,0.05,0.7745142857142857,0.07873995897917538,0.032933333333333335,0.027205210550859265,-0.010000000000000009,0.13333333333333333,0.14178677715041807,0.3611200819412867,0.09333809523809525,0.0,1.0,1.3476860761642455,1541.097265625
bitta_style_binary_feedback,0.3,0.1,0.7687666666666666,0.0774211772170868,0.02718571428571429,0.030168869079002313,-0.022857142857142798,0.2,0.1453585311620718,0.36981768558422723,0.0953047619047619,0.0,1.0,1.7229162772496542,1541.0930989583333
bitta_style_binary_feedback,0.5,0.0,0.7434466666666667,0.08248411647865526,0.0,0.0,0.0,0.0,0.1503952933816115,0.40092562486728034,0.09031333333333333,0.0,0.0,0.7564199447631836,742.1769205729166
bitta_style_binary_feedback,0.5,0.001,0.74034,0.09882600732670493,-0.00310666666666668,0.03964242705723889,-0.09940000000000004,0.5,0.16752150731345017,0.418062029282252,0.10878,0.0,1.0,0.9105965375900269,785.4563802083334
bitta_style_binary_feedback,0.5,0.005,0.7378066666666666,0.10266065268249275,-0.005639999999999997,0.040193751444377694,-0.11780000000000002,0.43333333333333335,0.17196281173894803,0.423071962594986,0.11336666666666667,0.0,1.0,0.9636363665262858,786.4751302083333
bitta_style_binary_feedback,0.5,0.01,0.7506733333333333,0.09267033871828095,0.007226666666666667,0.029836184157118202,-0.07799999999999996,0.4,0.16318228454013667,0.4031796356042226,0.10844666666666666,0.0,1.0,1.025512448946635,785.6501302083333
bitta_style_binary_feedback,0.5,0.02,0.7568133333333333,0.08572633174248734,0.013366666666666653,0.02490046853642184,-0.025800000000000045,0.3333333333333333,0.15829772787839175,0.3928950866063436,0.10501999999999999,0.0,1.0,1.116178313891093,1208.0297526041666
bitta_style_binary_feedback,0.5,0.05,0.7549399999999999,0.09219365151305349,0.011493333333333336,0.029306312528583137,-0.028000000000000025,0.4,0.16064017229427893,0.39610383262236915,0.1075,0.0,1.0,1.326891334851583,1540.9305989583333
