method,robustness_axis,robustness_value,feedback_noise,feedback_delay_windows,contamination_ratio,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,brier_mean,oem_0_9_mean,collapse_rate,accept_rate_mean,runtime_sec_mean,peak_memory_mb_mean
fb_gate_tent,feedback_noise,0.05,0.05,0,0.1,0.005,0.5689814814814814,0.08460046125499536,0.09716666666666667,0.05568808521801626,0.02155555555555555,0.0,0.19296163563041224,0.6192265768845876,0.07490740740740741,0.0,0.33,1.6786250034968058,1539.5112630208334
fb_gate_tent,feedback_noise,0.05,0.05,0,0.1,0.01,0.5783074074074075,0.07688799571676502,0.10649259259259258,0.059661109663195114,0.031333333333333324,0.0,0.1881149222423909,0.6058003634214402,0.07327407407407407,0.0,0.43666666666666665,1.6738863150278727,1539.5529296875
fb_gate_tent,feedback_noise,0.05,0.05,0,0.1,0.02,0.5791703703703703,0.07382865769300148,0.10735555555555557,0.0649836630089999,0.02388888888888885,0.0,0.18686636420833294,0.6051528175671895,0.07326296296296296,0.0,0.4233333333333333,1.6787001132965087,1539.5154296875
fb_gate_tent,feedback_noise,0.05,0.05,0,0.1,0.05,0.5873333333333334,0.07708244744235684,0.11551851851851852,0.06525865837771677,0.03466666666666662,0.0,0.18261757087241168,0.5927850554386774,0.07164814814814814,0.0,0.38666666666666666,1.6830836613972981,1539.4820963541667
fb_gate_tent,feedback_noise,0.05,0.05,0,0.1,0.1,0.5849333333333333,0.07987733038696793,0.11311851851851853,0.05918935084610311,0.03466666666666662,0.0,0.18362183647591757,0.5965333551168441,0.07194074074074074,0.0,0.35,1.7018239816029868,1539.3945963541667
fb_gate_tent,feedback_noise,0.05,0.05,0,0.2,0.0,0.4688125,0.1275713532170837,0.0,0.0,0.0,0.0,0.25224656100439213,0.7622202734152476,0.08957916666666667,0.0,0.0,0.6870020151138305,786.422265625
fb_gate_tent,feedback_noise,0.05,0.05,0,0.2,0.001,0.5141708333333334,0.10718502615187517,0.04535833333333333,0.05627400573323679,0.0,0.0,0.224679692473216,0.6981764237085978,0.08360833333333333,0.0,0.11666666666666667,1.688811977704366,1539.4112630208333
fb_gate_tent,feedback_noise,0.05,0.05,0,0.2,0.005,0.5606833333333333,0.0847689413614457,0.09187083333333333,0.05997866433996133,0.013624999999999998,0.0,0.19780703132045457,0.6318121622006099,0.07685416666666667,0.0,0.29,1.677233870824178,1539.6195963541666
fb_gate_tent,feedback_noise,0.05,0.05,0,0.2,0.01,0.5636500000000001,0.07902168787853382,0.09483749999999998,0.05808218343285303,0.022499999999999964,0.0,0.1960355975346795,0.6268722256024678,0.076175,0.0,0.35333333333333333,1.6769814570744832,1539.5654296875
fb_gate_tent,feedback_noise,0.05,0.05,0,0.2,0.02,0.5648833333333333,0.08519137895849896,0.09607083333333333,0.05510323074080787,0.025375000000000036,0.0,0.19600743801691572,0.6253194391727448,0.0758625,0.0,0.3766666666666667,1.6769124110539755,1539.6820963541666
fb_gate_tent,feedback_noise,0.05,0.05,0,0.2,0.05,0.5689208333333333,0.08465432043971051,0.10010833333333331,0.058103038429264994,0.016625,0.0,0.1934509530192086,0.619513229529063,0.07549166666666667,0.0,0.3466666666666667,1.6788778225580852,1539.5612630208334
fb_gate_tent,feedback_noise,0.05,0.05,0,0.2,0.1,0.5747333333333333,0.08035222657830929,0.10592083333333333,0.058681264663923795,0.03200000000000003,0.0,0.190035938578813,0.6109457661708196,0.074125,0.0,0.30333333333333334,1.7009341239929199,1539.5570963541666
fb_gate_tent,feedback_noise,0.05,0.05,0,0.3,0.0,0.4690190476190476,0.12861672838169458,0.0,0.0,0.0,0.0,0.2524928834147751,0.7623664299647014,0.08997142857142854,0.0,0.0,0.6867760022481283,786.222265625
fb_gate_tent,feedback_noise,0.05,0.05,0,0.3,0.001,0.49448095238095235,0.12882688078305637,0.025461904761904776,0.030915213632881303,0.0,0.0,0.23881851194461895,0.727924625078837,0.0875857142857143,0.0,0.060000000000000005,1.6858361800511679,1539.4445963541666
fb_gate_tent,feedback_noise,0.05,0.05,0,0.3,0.005,0.5480809523809523,0.0888893284598952,0.07906190476190478,0.053986727632792324,0.0,0.0,0.205894930439265,0.6504438281059265,0.07902857142857143,0.0,0.2733333333333333,1.6782297929128012,1539.7029296875
fb_gate_tent,feedback_noise,0.05,0.05,0,0.3,0.01,0.5635,0.08877717839195594,0.0944809523809524,0.053739060989653795,0.013142857142857123,0.0,0.19903150014586393,0.628627622127533,0.0773047619047619,0.0,0.38,1.683313290278117,1539.5987630208333
fb_gate_tent,feedback_noise,0.05,0.05,0,0.3,0.02,0.5570809523809523,0.09116757454216134,0.08806190476190477,0.053087325763285176,0.014000000000000012,0.0,0.2025884417971685,0.6387250632047653,0.07840476190476191,0.0,0.4233333333333333,1.6802637179692586,1539.5654296875
fb_gate_tent,feedback_noise,0.05,0.05,0,0.3,0.05,0.5596,0.08653712110211326,0.0905809523809524,0.05312787719023595,0.011142857142857121,0.0,0.19942790835811977,0.6340020060539245,0.07672857142857144,0.0,0.27666666666666667,1.6832420190175374,1539.6445963541667
fb_gate_tent,feedback_noise,0.05,0.05,0,0.3,0.1,0.549352380952381,0.08917778882756393,0.08033333333333335,0.05242569666798545,0.006714285714285784,0.0,0.20464579509525072,0.6478521287441253,0.07810952380952381,0.0,0.19333333333333333,1.7014445066452026,1539.5320963541667
fb_gate_tent,feedback_noise,0.05,0.05,0,0.5,0.0,0.46731333333333336,0.1290461631738235,0.0,0.0,0.0,0.0,0.2541007132915655,0.765040518840154,0.08998666666666666,0.0,0.0,0.6864574750264486,786.472265625
fb_gate_tent,feedback_noise,0.05,0.05,0,0.5,0.001,0.48038000000000003,0.12358882161258036,0.013066666666666666,0.02436607779529641,0.0,0.0,0.24709351188917955,0.7470300217469533,0.08937333333333333,0.0,0.03333333333333333,1.683639113108317,1539.2487630208334
