method,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,ece_std,brier_mean,oem_0_9_mean,accept_rate_mean,collapse_rate,runtime_sec_mean,peak_memory_mb_mean
self_gate_tent_zero_bit,0.02,0.5429033333333333,0.09427423568570732,0.16845833333333332,0.09358686401316808,0.021399999999999975,0.0,0.20560320147183414,0.049537670504185866,0.6540330628554026,0.07657333333333334,0.41833333333333333,0.0,1.5194097836812337,1538.9779296875
self_gate_tent_zero_bit,0.05,0.5439433333333333,0.0935046384540862,0.16949833333333333,0.09368048562537265,0.018900000000000028,0.0,0.20472992629295836,0.048882317030841345,0.6525813127557437,0.07635166666666666,0.4033333333333333,0.0,1.517529586950938,1539.0362630208333
self_gate_tent_zero_bit,0.1,0.5438283333333334,0.09394632454481777,0.16938333333333333,0.09304950963297902,0.024800000000000044,0.0,0.20489124014010032,0.049310773979435875,0.6530657410621643,0.07624833333333333,0.40166666666666667,0.0,1.5367603222529094,1538.9570963541667
tent,0.0,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.070046881834666,1495.16240234375
tent,0.001,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.070046881834666,1495.16240234375
tent,0.005,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.070046881834666,1495.16240234375
tent,0.01,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.070046881834666,1495.16240234375
tent,0.02,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.070046881834666,1495.16240234375
tent,0.05,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.070046881834666,1495.16240234375
tent,0.1,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.070046881834666,1495.16240234375
throttle_tent_zero_bit,0.0,0.374445,0.16381483182886294,0.0,0.0,0.0,0.0,0.31665293591678767,0.11938768423188838,0.9002820938825608,0.10588333333333333,0.0,0.0,0.6275930881500245,742.6088216145833
throttle_tent_zero_bit,0.001,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.345447019735972,1495.39365234375
throttle_tent_zero_bit,0.005,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.3460844477017722,1495.2269856770833
throttle_tent_zero_bit,0.01,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.3458205223083497,1495.1832356770833
throttle_tent_zero_bit,0.02,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.3452990214029947,1495.21865234375
throttle_tent_zero_bit,0.05,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.3434733748435974,1495.2269856770833
throttle_tent_zero_bit,0.1,0.55306,0.09263217986079514,0.17861500000000002,0.0935036078792721,0.04479999999999995,0.0,0.20200695406468586,0.04814986661418339,0.6418728883067767,0.07664333333333334,1.0,0.0,1.343696908156077,1495.2915690104167
